03-23 22:55:42,82.51,Mbit/s
03-23 22:56:42,62.7,Mbit/s
03-23 22:57:42,83.71,Mbit/s
03-23 22:58:42,61.68,Mbit/s
03-23 22:59:42,81.51,Mbit/s
03-23 23:00:42,86.96,Mbit/s
03-23 23:01:42,82.43,Mbit/s
03-23 23:02:42,78.01,Mbit/s
03-23 23:03:42,86.75,Mbit/s
03-23 23:04:42,72.51,Mbit/s
03-23 23:05:42,89.68,Mbit/s
03-23 23:06:42,87.61,Mbit/s
03-23 23:07:42,61.21,Mbit/s
03-23 23:08:42,87.28,Mbit/s
03-23 23:09:43,66.52,Mbit/s
03-23 23:10:43,85.62,Mbit/s
03-23 23:11:43,80.81,Mbit/s
03-23 23:12:43,16.68,Mbit/s
03-23 23:13:43,82.0,Mbit/s
03-23 23:14:43,73.34,Mbit/s
