03-23 22:55:42,89.01,Mbit/s
03-23 22:56:42,50.06,Mbit/s
03-23 22:57:42,88.26,Mbit/s
03-23 22:58:42,87.68,Mbit/s
03-23 22:59:42,88.74,Mbit/s
03-23 23:00:42,84.5,Mbit/s
03-23 23:01:42,81.9,Mbit/s
03-23 23:02:42,89.12,Mbit/s
03-23 23:03:42,88.49,Mbit/s
03-23 23:04:42,57.54,Mbit/s
03-23 23:05:42,89.25,Mbit/s
03-23 23:06:42,89.37,Mbit/s
03-23 23:07:42,88.82,Mbit/s
03-23 23:08:42,54.33,Mbit/s
03-23 23:09:43,4.87,Mbit/s
03-23 23:10:43,85.19,Mbit/s
03-23 23:11:43,67.46,Mbit/s
03-23 23:12:43,89.39,Mbit/s
03-23 23:13:43,64.86,Mbit/s
03-23 23:14:43,89.08,Mbit/s
